Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,BATI Score,Status,Reasons
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,167,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,1275,90,TRUSTED,Large Packet
2026-09-03 14:54:16,10.30.167.246,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,346,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,344,100,TRUSTED,
2026-09-03 14:54:16,40.79.167.9,10.30.166.85,TCP,443,51667,60,100,TRUSTED,
2026-09-03 14:54:16,40.79.167.9,10.30.166.85,TCP,443,51667,60,100,TRUSTED,
2026-09-03 14:54:16,40.79.167.9,10.30.166.85,TCP,443,51667,148,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.85,40.79.167.9,TCP,51667,443,89,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,356,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,354,100,TRUSTED,
2026-09-03 14:54:16,10.30.164.78,255.255.255.255,UDP,59417,137,92,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.85,10.30.164.78,UDP,137,59417,134,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:16,172.64.155.209,10.30.166.85,TCP,443,2269,1304,90,TRUSTED,Large Packet
2026-09-03 14:54:16,172.64.155.209,10.30.166.85,TCP,443,2269,818,100,TRUSTED,
2026-09-03 14:54:16,172.64.155.209,10.30.166.85,TCP,443,2269,89,100,TRUSTED,
2026-09-03 14:54:16,172.64.155.209,10.30.166.85,TCP,443,2269,85,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.85,172.64.155.209,TCP,2269,443,54,100,TRUSTED,
2026-09-03 14:54:16,10.30.167.159,239.255.255.250,UDP,56748,1900,217,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.85,172.64.155.209,TCP,2269,443,89,100,TRUSTED,
2026-09-03 14:54:16,172.64.155.209,10.30.166.85,TCP,443,2269,60,100,TRUSTED,
2026-09-03 14:54:16,40.79.167.9,10.30.166.85,TCP,443,51667,60,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,290,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.94,224.0.0.251,UDP,5353,5353,100,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,279,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,346,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.0,224.0.0.251,UDP,5353,5353,81,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,344,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.113,10.30.167.255,UDP,42837,58581,168,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,356,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.116,239.255.255.250,UDP,44175,1900,354,100,TRUSTED,
2026-09-03 14:54:16,10.30.165.0,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:16,10.30.167.246,239.255.255.250,UDP,52192,1900,217,100,TRUSTED,
2026-09-03 14:54:16,10.30.167.246,10.30.167.255,UDP,137,137,92,100,TRUSTED,
2026-09-03 14:54:16,10.30.164.166,224.0.0.251,UDP,5353,5353,488,100,TRUSTED,
2026-09-03 14:54:16,10.30.166.94,224.0.0.251,UDP,5353,5353,198,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,10.30.179.4,UDP,49727,53,92,100,TRUSTED,
2026-09-03 14:54:17,10.30.179.4,10.30.166.85,UDP,53,49727,212,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,66,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.51,255.255.255.255,UDP,3800,3800,50,100,TRUSTED,
2026-09-03 14:54:17,20.42.73.30,10.30.166.85,TCP,443,41374,66,100,TRUSTED,
2026-09-03 14:54:17,10.30.166.85,20.42.73.30,TCP,41374,443,54,100,TRUSTED,
